"floor","county","log_radon","log_uranium"
1,"AITKIN",0.832909122935104,-0.6890475953545
0,"AITKIN",0.832909122935104,-0.6890475953545
0,"AITKIN",1.09861228866811,-0.6890475953545
0,"AITKIN",0.0953101798043249,-0.6890475953545
0,"ANOKA",1.16315080980568,-0.847312860499705
0,"ANOKA",0.955511445027436,-0.847312860499705
0,"ANOKA",0.470003629245736,-0.847312860499705
0,"ANOKA",0.0953101798043249,-0.847312860499705
0,"ANOKA",-0.22314355131421,-0.847312860499705
0,"ANOKA",0.262364264467491,-0.847312860499705
0,"ANOKA",0.262364264467491,-0.847312860499705
0,"ANOKA",0.336472236621213,-0.847312860499705
0,"ANOKA",0.405465108108164,-0.847312860499705
0,"ANOKA",-0.693147180559945,-0.847312860499705
0,"ANOKA",0.182321556793955,-0.847312860499705
0,"ANOKA",1.52605630349505,-0.847312860499705
0,"ANOKA",0.336472236621213,-0.847312860499705
0,"ANOKA",0.78845736036427,-0.847312860499705
0,"ANOKA",1.79175946922805,-0.847312860499705
0,"ANOKA",1.22377543162212,-0.847312860499705
0,"ANOKA",0.641853886172395,-0.847312860499705
0,"ANOKA",1.70474809223843,-0.847312860499705
0,"ANOKA",1.85629799036563,-0.847312860499705
0,"ANOKA",0.693147180559945,-0.847312860499705
0,"ANOKA",1.90210752639692,-0.847312860499705
0,"ANOKA",1.16315080980568,-0.847312860499705
0,"ANOKA",1.93152141160321,-0.847312860499705
0,"ANOKA",1.96009478404727,-0.847312860499705
0,"ANOKA",2.05412373369555,-0.847312860499705
0,"ANOKA",1.66770682055808,-0.847312860499705
0,"ANOKA",1.52605630349505,-0.847312860499705
0,"ANOKA",1.50407739677627,-0.847312860499705
0,"ANOKA",1.06471073699243,-0.847312860499705
0,"ANOKA",2.10413415427021,-0.847312860499705
0,"ANOKA",0.53062825106217,-0.847312860499705
0,"ANOKA",1.45861502269952,-0.847312860499705
0,"ANOKA",1.70474809223843,-0.847312860499705
0,"ANOKA",1.41098697371026,-0.847312860499705
0,"ANOKA",0.8754687373539,-0.847312860499705
0,"ANOKA",1.09861228866811,-0.847312860499705
0,"ANOKA",0.405465108108164,-0.847312860499705
0,"ANOKA",1.22377543162212,-0.847312860499705
0,"ANOKA",1.09861228866811,-0.847312860499705
1,"ANOKA",0.641853886172395,-0.847312860499705
1,"ANOKA",-1.20397280432594,-0.847312860499705
0,"ANOKA",0.916290731874155,-0.847312860499705
1,"ANOKA",0.182321556793955,-0.847312860499705
0,"ANOKA",0.832909122935104,-0.847312860499705
0,"ANOKA",-0.356674943938732,-0.847312860499705
0,"ANOKA",0.587786664902119,-0.847312860499705
0,"ANOKA",1.09861228866811,-0.847312860499705
0,"ANOKA",0.832909122935104,-0.847312860499705
0,"ANOKA",0.587786664902119,-0.847312860499705
0,"ANOKA",0.405465108108164,-0.847312860499705
